model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen
proto_source=vanilla_k=25_weighted=0_learnw=0,proto,vanilla,25.0,False,False,cvar,2,-0.01580040156841278,0.00015891732648835787,-0.050715539231896395,-0.06249259598553181,0.9214145383104126,0.5645360946655273,0.014822919853031635,0.0,0.0,0.0,0.0,2.0,0.05801633677445352,0.0,0.0,,True,True,True
proto_source=vanilla_k=100_weighted=0_learnw=0,proto,vanilla,100.0,False,False,cvar,2,-0.015899780672043562,0.000532950192142795,-0.049244928359985354,-0.06063629873096943,0.899803536345776,1.0,0.01651509804651141,0.027357563850687622,0.027357563850687622,0.0,0.19548133595284872,528.0,0.05824202117977179,0.0017751479289940828,0.00591715976331361,,True,True,True
proto_source=spot_delta_k=25_weighted=1_learnw=0,proto,spot_delta,25.0,True,False,cvar,3,-0.015911853561798733,0.00024009115352496697,-0.05074786146481832,-0.06484744201103847,0.9384413883431565,0.458892360329628,0.013688822199280063,0.028438113948919447,0.028438113948919447,0.0,0.1650294695481336,107.0,0.05736475159201029,0.008777120315581853,0.13806706114398423,,True,True,True
proto_source=vanilla_k=10_weighted=1_learnw=0,proto,vanilla,10.0,True,False,cvar,2,-0.015920369420200586,0.00046010068158073056,-0.050405542925000185,-0.062089694663882256,0.9469548133595285,0.6012701541185379,0.014768774155527353,0.031237721021611,0.031237721021611,0.0,0.16895874263261296,236.0,0.0598800143501556,0.012869822485207101,0.07199211045364892,,True,True,True
unhedged,baseline,,,,,,3,-0.015991955995559692,0.00018952906534495842,-0.052530892690022785,-0.0676492340862751,0.676489849377865,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True
proto_source=vanilla_k=25_weighted=1_learnw=0,proto,vanilla,25.0,True,False,cvar,2,-0.016077397391200066,6.070990110191092e-05,-0.049409523233771326,-0.06059572845697403,0.9145383104125737,0.7478673458099365,0.026029709726572037,0.175,0.175,0.0,0.5,218.5,0.0720144076963071,0.13099112426035503,0.5,,True,True,True
proto_source=spot_delta_k=100_weighted=0_learnw=0,proto,spot_delta,100.0,False,False,cvar,2,-0.016294916160404682,0.0007046597456987171,-0.04963506907224655,-0.06230086833238602,0.9675834970530452,0.7628577053546906,0.02639041654765606,0.0,0.0,0.0,0.0,23.0,0.05750928767025471,0.0,0.0,,True,True,True
proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,-0.016709340425829094,0.0021603890741471446,-0.05061970750490824,-0.06487434605757396,0.9489194499017682,0.8986373742421468,0.026309580852588017,0.075,0.0,0.075,0.3333333333333333,6.666666666666667,0.05664854295351551,0.00034516765285996055,0.0046022353714661405,,True,True,True
proto_source=vanilla_k=100_weighted=1_learnw=0,proto,vanilla,100.0,True,False,cvar,2,-0.01712965779006481,0.0013953978604986795,-0.05255619399249553,-0.06518159620463848,0.9194499017681729,0.5771152973175049,0.029249314218759537,0.0,0.0,0.0,0.0,49.5,0.05929191724397242,0.0,0.0,,True,True,True
proto_source=vanilla_k=10_weighted=0_learnw=0,proto,vanilla,10.0,False,False,cvar,2,-0.017326735891401768,0.00045974177482387997,-0.053270336240530014,-0.0648343451321125,0.9155206286836934,1.0,0.04734480008482933,0.09933693516699411,0.0906434184675835,0.00869351669941061,0.6463654223968566,367.0,0.06817920914656414,0.06577909270216963,0.6173570019723866,,True,True,True
